,자치구,대여소ID,대여소번호,대여소명,대여소번호명,거치대수,주소1,주소2,위도,경도,행정동
63,성동구,ST-3120,4386,현대자동차 동부서비스센터 주변,4386. 현대자동차 동부서비스센터 주변,5.0,서울특별시 성동구 성수이로 134 현대자동차써비스(주)동부사업소,,37.546978,127.05796814,성수2가3동
64,성동구,ST-3121,4387,성수역 1번출구 주변,4387. 성수역 1번출구 주변,8.0,서울특별시 성동구 아차산로 83 에프투텔레콤,,37.54555893,127.05336761,성수2가3동
65,성동구,ST-3205,4389,서울숲역3번출구,4389. 서울숲역3번출구,5.0,서울특별시 성동구 성수동1가 694-71,,37.54255676,127.04423523,성수1가1동
66,성동구,ST-3228,4390,신답역 1번출구,4390. 신답역 1번출구,5.0,서울특별시 성동구 용답동 128-3,,37.57045364,127.04694366,용답동
67,성동구,ST-3265,4393,상원삼거리 장안철교 아래,4393. 상원삼거리 장안철교 아래,10.0,서울특별시 성동구 성수동2가 283-1,,37.55105209,127.05222321,송정동
68,성동구,ST-3267,4392,답십리역 6번출구,4392. 답십리역 6번출구,5.0,서울특별시 성동구 천호대로 282 남주빌딩,,37.56678009,127.05233002,용답동
69,성동구,ST-3277,4394,서울시립24시간게스트하우스,4394.서울시립24시간게스트하우스,2.0,서울특별시 성동구 송정동 74-362,,37.55463028,127.05780029,용답동
70,성동구,ST-357,556,달맞이공원,556. 달맞이공원,7.0,서울특별시 성동구 금호동4가 367-1,달맞이공원,37.54205322,127.020401,금호4가동
71,성동구,ST-358,557,도선동 주민센터 앞,557. 도선동 주민센터 앞,10.0,서울특별시 성동구 무학로10길 6,도선동 주민센터 앞,37.56764221,127.0256958,왕십리도선동
72,성동구,ST-359,558,성동광진 교육지원청 앞,558. 성동광진 교육지원청 앞,20.0,서울특별시 성동구 고산자로 260,성동광진 교육지원청 앞,37.56460571,127.03652191,행당1동
73,성동구,ST-360,559,왕십리역 4번 출구 건너편,559. 왕십리역 4번 출구 건너편,13.0,서울특별시 성동구 왕십리광장로 10-1,왕십리역 4번 출구 건너편,37.56109619,127.03679657,행당1동
74,성동구,ST-361,560,비전교회 앞,560. 비전교회 앞,14.0,서울특별시 성동구 동일로 213,비전교회 앞,37.55120468,127.06893158,송정동
75,성동구,ST-362,561,서울숲역 2번출구 앞,561. 서울숲역 2번출구 앞,10.0,서울특별시 성동구 왕십리로 64,서울숲역 2번출구 앞,37.54281616,127.0446701,성수1가1동
76,성동구,ST-364,563,성동세무서 건너편,563. 성동세무서 건너편,10.0,서울특별시 성동구 광나루로 302,성동세무서 건너편,37.5479126,127.06275177,성수2가3동
77,성동구,ST-365,564,금호역 3번출구,564. 금호역 3번출구,7.0,서울특별시 성동구 동호로 99,금호역 3번출구,37.54792786,127.01557159,금호4가동
