,대여,반납
585,3.338359419275125,3.0996576740183515
589,3.3659513583246,3.1539478880130276
3515,5.38787706177809,5.531318361897295
3548,1.9980142160146992,2.3319107294715895
3552,4.630012360578149,4.051736561528862
3559,3.182540606659819,3.433518552690223
4353,1.8715046873112633,1.7595989604194586
4373,1.9884884969647068,1.8765783241865035
4389,1.6362706256699324,1.7909043350348919
